State/UT,Financial Year,No. of Orgs,Amount (Rs in lakhs)
Andhra Pradesh,2021-2022,2,21.00
Andhra Pradesh,2022-2023,4,23.00
Andhra Pradesh,2023-2024,2,14.00 
