State/UT,Financial Year,No. of Orgs,Amount (Rs in lakhs)
Telangana,2021-2022,2,41.25
Telangana,2022-2023,2,41.25
Telangana,2023-2024,2,41.25
Telangana,2021-2022,9,13.87
Telangana,2022-2023,16,16.87
Telangana,2023-2024,9,9.61
Telangana,2021-2022,2,20.82
Telangana,2022-2023,2,12.79
Telangana,2023-2024,2,49.80 
