State/UT,Financial Year,No. of Orgs,Amount (Rs in lakhs)
Delhi,2021-2022,1,5.99
Delhi,2022-2023,7,241.25
Delhi,2023-2024,11,276.25
Delhi,2021-2022,119,263.42
Delhi,2022-2023,167,408.06
Delhi,2023-2024,204,370.03
Delhi,2021-2022,1,10.25
Delhi,2023-2024,2,11.20 
